id,sepal_length,sepal_width,petal_length,petal_width,class
0,0.544304,0.681818,0.15942,0.04,1
1,0.556962,0.659091,0.202899,0.08,1
2,0.556962,0.681818,0.188406,0.08,1
3,0.556962,0.727273,0.188406,0.08,1
4,0.56962,0.522727,0.188406,0.12,1
5,0.582278,0.704545,0.217391,0.08,1
6,0.582278,0.727273,0.202899,0.08,1
7,0.582278,0.772727,0.202899,0.12,1
8,0.582278,0.818182,0.144928,0.08,1
9,0.594937,0.727273,0.188406,0.08,1
10,0.594937,0.727273,0.231884,0.08,1
11,0.607595,0.681818,0.202899,0.04,1
12,0.607595,0.681818,0.202899,0.12,1
13,0.607595,0.704545,0.231884,0.08,1
14,0.607595,0.772727,0.231884,0.08,1
15,0.607595,0.772727,0.275362,0.08,1
16,0.620253,0.545455,0.478261,0.4,2
17,0.620253,0.568182,0.652174,0.68,3
18,0.620253,0.681818,0.202899,0.08,1
19,0.620253,0.704545,0.217391,0.04,1
20,0.632911,0.454545,0.507246,0.4,2
21,0.632911,0.522727,0.478261,0.4,2
22,0.632911,0.681818,0.231884,0.08,1
23,0.632911,0.727273,0.173913,0.08,1
24,0.632911,0.75,0.202899,0.08,1
25,0.632911,0.772727,0.217391,0.08,1
26,0.632911,0.772727,0.231884,0.16,1
27,0.632911,0.795455,0.188406,0.12,1
28,0.632911,0.795455,0.231884,0.24,1
29,0.632911,0.818182,0.202899,0.08,1
30,0.64557,0.568182,0.434783,0.44,2
31,0.64557,0.75,0.246377,0.2,1
32,0.64557,0.772727,0.217391,0.08,1
33,0.64557,0.795455,0.202899,0.08,1
34,0.64557,0.795455,0.202899,0.12,1
35,0.64557,0.840909,0.217391,0.16,1
36,0.64557,0.863636,0.217391,0.12,1
37,0.64557,0.863636,0.231884,0.08,1
38,0.64557,0.863636,0.275362,0.16,1
39,0.658228,0.613636,0.565217,0.56,2
40,0.658228,0.772727,0.202899,0.08,1
41,0.658228,0.795455,0.217391,0.08,1
42,0.658228,0.931818,0.217391,0.04,1
43,0.670886,0.840909,0.217391,0.08,1
44,0.683544,0.681818,0.652174,0.6,2
45,0.683544,0.772727,0.217391,0.16,1
46,0.683544,0.772727,0.246377,0.08,1
47,0.683544,0.840909,0.217391,0.08,1
48,0.683544,0.886364,0.188406,0.16,1
49,0.683544,0.886364,0.246377,0.16,1
50,0.696203,0.522727,0.57971,0.52,2
51,0.696203,0.545455,0.536232,0.4,2
52,0.696203,0.545455,0.550725,0.44,2
53,0.696203,0.568182,0.57971,0.52,2
54,0.696203,0.590909,0.637681,0.48,2
55,0.696203,0.795455,0.188406,0.08,1
56,0.696203,0.954545,0.202899,0.08,1
57,0.708861,0.568182,0.565217,0.44,2
58,0.708861,0.613636,0.608696,0.52,2
59,0.708861,0.636364,0.710145,0.8,3
60,0.708861,0.659091,0.521739,0.52,2
61,0.708861,0.681818,0.594203,0.52,2
62,0.708861,0.681818,0.652174,0.6,2
63,0.721519,0.568182,0.724638,0.8,3
64,0.721519,0.590909,0.507246,0.4,2
65,0.721519,0.636364,0.594203,0.52,2
66,0.721519,0.636364,0.652174,0.52,2
67,0.721519,0.659091,0.608696,0.52,2
68,0.721519,0.681818,0.608696,0.48,2
69,0.721519,0.863636,0.246377,0.12,1
70,0.721519,1,0.217391,0.16,1
71,0.734177,0.590909,0.57971,0.48,2
72,0.734177,0.613636,0.565217,0.48,2
73,0.734177,0.613636,0.594203,0.4,2
74,0.734177,0.613636,0.73913,0.76,3
75,0.734177,0.636364,0.73913,0.96,3
76,0.734177,0.909091,0.173913,0.08,1
77,0.746835,0.681818,0.608696,0.6,2
78,0.746835,0.681818,0.73913,0.72,3
79,0.746835,0.727273,0.695652,0.72,2
80,0.759494,0.5,0.57971,0.4,2
81,0.759494,0.5,0.724638,0.6,3
82,0.759494,0.613636,0.73913,0.64,2
83,0.759494,0.659091,0.652174,0.6,2
84,0.759494,0.681818,0.695652,0.72,3
85,0.759494,0.772727,0.652174,0.64,2
86,0.772152,0.590909,0.811594,0.56,3
87,0.772152,0.636364,0.57971,0.52,2
88,0.772152,0.636364,0.681159,0.48,2
89,0.772152,0.659091,0.681159,0.56,2
90,0.772152,0.681818,0.666667,0.56,2
91,0.772152,0.681818,0.710145,0.72,3
92,0.78481,0.5,0.652174,0.6,2
93,0.78481,0.636364,0.695652,0.72,3
94,0.78481,0.659091,0.623188,0.52,2
95,0.78481,0.772727,0.782609,0.92,3
96,0.797468,0.522727,0.637681,0.52,2
97,0.797468,0.568182,0.710145,0.6,2
98,0.797468,0.568182,0.724638,0.76,3
